japanese,pds
一万五千,_ 1 05 5 04 _
弐拾弐,_ 2 02 2 01 _
伍千億,_ 5 012 _
七千三百四十,_ 7 04 3 03 4 02 _
漆百捌拾玖,_ 7 03 8 02 9 01 _
百一,_ 1 03 1 01 _
四十八,_ 4 02 8 01 _
三万八千,_ 3 05 8 04 _
肆百億,_ 4 011 _
弐仟弐百,_ 2 04 2 03 _
伍拾陸,_ 5 02 6 01 _
百兆,_ 1 015 _
八万一千,_ 8 05 1 04 _
参百,_ 3 03 _
三十五,_ 3 02 5 01 _
弐百参拾肆,_ 2 03 3 02 4 01 _
三千五百万,_ 3 08 5 07 _
九千万,_ 9 08 _
兆,_ 1 013 _
五百七十万,_ 5 07 7 06 _
参拾肆,_ 3 02 4 01 _
拾億,_ 1 010 _
十兆,_ 1 014 _
七百八十九,_ 7 03 8 02 9 01 _
壱百,_ 1 03 _
壱百壱拾,_ 1 03 1 02 _
一万二千,_ 1 05 2 04 _
三百六十五,_ 3 03 6 02 5 01 _
二百五十,_ 2 03 5 02 _
肆,_ 4 01 _
玖拾玖,_ 9 02 9 01 _
億,_ 1 09 _
一,_ 1 01 _
捌百捌拾億,_ 8 011 8 010 _
五万五千五百,_ 5 05 5 04 5 03 _
参百肆拾伍,_ 3 03 4 02 5 01 _
八十八,_ 8 02 8 01 _
四千五百六十七,_ 4 04 5 03 6 02 7 01 _
玖千九百億,_ 9 012 9 011 _
伍仟陸百漆拾捌,_ 5 04 6 03 7 02 8 01 _
百二十五万,_ 1 07 2 06 5 05 _
千二百,_ 1 04 2 03 _
拾兆,_ 1 014 _
弐拾億,_ 2 010 _
〇,_ _
九千九百九,_ 9 04 9 03 9 01 _
十,_ 1 02 _
十億,_ 1 010 _
二百四十四,_ 2 03 4 02 4 01 _
六万七千,_ 6 05 7 04 _
漆百参拾万,_ 7 07 3 06 _
八千二百一,_ 8 04 2 03 1 01 _
伍,_ 5 01 _
捌千九拾万,_ 8 08 9 06 _
七百八十四,_ 7 03 8 02 4 01 _
玖拾,_ 9 02 _
二千五百六十,_ 2 04 5 03 6 02 _
参拾万伍仟,_ 3 06 5 04 _
伍仟,_ 5 04 _
二,_ 2 01 _
六十六,_ 6 02 6 01 _
六百七十二,_ 6 03 7 02 2 01 _
壱億壱千万,_ 1 09 1 08 _
玖,_ 9 01 _
漆,_ 7 01 _
十万,_ 1 06 _
一億五千万,_ 1 09 5 08 _
伍兆,_ 5 013 _
肆百,_ 4 03 _
四万二千百,_ 4 05 2 04 1 03 _
壱千万漆千,_ 1 08 7 04 _
四百六十二,_ 4 03 6 02 2 01 _
八百十六,_ 8 03 1 02 6 01 _
捌,_ 8 01 _
参,_ 3 01 _
八千六百五十二,_ 8 04 6 03 5 02 2 01 _
六,_ 6 01 _
弐百伍拾億,_ 2 011 5 010 _
百億,_ 1 011 _
弐億四千万,_ 2 09 4 08 _
十一,_ 1 02 1 01 _
七十七,_ 7 02 7 01 _
漆百,_ 7 03 _
百万,_ 1 07 _
一千億,_ 1 012 _
弐仟,_ 2 04 _
壱千億,_ 1 012 _
五千九百九十九,_ 5 04 9 03 9 02 9 01 _
三兆五千億,_ 3 013 5 012 _
肆百伍拾陸,_ 4 03 5 02 6 01 _
一億二千万,_ 1 09 2 08 _
百,_ 1 03 _
九,_ 9 01 _
弐拾壱,_ 2 02 1 01 _
百壱拾万,_ 1 07 1 06 _
拾万,_ 1 06 _
壱仟,_ 1 04 _
捌拾捌,_ 8 02 8 01 _
陸拾漆,_ 6 02 7 01 _
一千万,_ 1 08 _
四百九十八,_ 4 03 9 02 8 01 _
千六百三,_ 1 04 6 03 3 01 _
六千八百万,_ 6 08 8 07 _
玖百壱拾,_ 9 03 1 02 _
四,_ 4 01 _
参仟,_ 3 04 _
百三十五,_ 1 03 3 02 5 01 _
九十九,_ 9 02 9 01 _
伍百陸拾漆,_ 5 03 6 02 7 01 _
二千二十六,_ 2 04 2 02 6 01 _
壱仟弐百参拾肆,_ 1 04 2 03 3 02 4 01 _
参拾伍億,_ 3 010 5 09 _
五千五,_ 5 04 5 01 _
六万八千九百,_ 6 05 8 04 9 03 _
一千二百万,_ 1 08 2 07 _
伍百,_ 5 03 _
捌拾玖,_ 8 02 9 01 _
肆万七百,_ 4 05 7 03 _
五,_ 5 01 _
佰,_ 1 03 _
九百九十九万,_ 9 07 9 06 9 05 _
二千八百七十,_ 2 04 8 03 7 02 _
七十二万,_ 7 06 2 05 _
二十五万,_ 2 06 5 05 _
九百三十三,_ 9 03 3 02 3 01 _
八百万,_ 8 07 _
壱拾壱,_ 1 02 1 01 _
七,_ 7 01 _
万,_ 1 05 _
弐万伍千,_ 2 05 5 04 _
弐百伍拾万,_ 2 07 5 06 _
壱万弐仟,_ 1 05 2 04 _
弐百,_ 2 03 _
壱百弐拾,_ 1 03 2 02 _
八,_ 8 01 _
参千伍百万,_ 3 08 5 07 _
伍億六千七百万,_ 5 09 6 08 7 07 _
陸百漆拾捌,_ 6 03 7 02 8 01 _
拾万弐千,_ 1 06 2 04 _
肆百八十万,_ 4 07 8 06 _
陸拾陸,_ 6 02 6 01 _
漆拾捌,_ 7 02 8 01 _
三百五十万,_ 3 07 5 06 _
参仟参百,_ 3 04 3 03 _
壱億,_ 1 09 _
壱,_ 1 01 _
九十万九千,_ 9 06 9 04 _
三億,_ 3 09 _
九万九千九百,_ 9 05 9 04 9 03 _
参千二百億,_ 3 012 2 011 _
五百億,_ 5 011 _
八千八百八十八,_ 8 04 8 03 8 02 8 01 _
五百一,_ 5 03 1 01 _
肆拾伍,_ 4 02 5 01 _
二十二,_ 2 02 2 01 _
弐兆伍千億,_ 2 013 5 012 _
捌百,_ 8 03 _
壱仟壱百,_ 1 04 1 03 _
伍拾伍,_ 5 02 5 01 _
九百五十一,_ 9 03 5 02 1 01 _
一兆,_ 1 013 _
八十九万,_ 8 06 9 05 _
五十六万,_ 5 06 6 05 _
五十九,_ 5 02 9 01 _
陸百,_ 6 03 _
捌百玖拾,_ 8 03 9 02 _
参拾参,_ 3 02 3 01 _
三千八百,_ 3 04 8 03 _
伍拾捌万,_ 5 06 8 05 _
伍拾兆,_ 5 014 _
千,_ 1 04 _
二万三千四百,_ 2 05 3 04 4 03 _
四千九百,_ 4 04 9 03 _
拾,_ 1 02 _
参拾万,_ 3 06 _
八千億,_ 8 012 _
百兆,_ 1 015 _
千十,_ 1 04 1 02 _
肆拾肆,_ 4 02 4 01 _
壱兆,_ 1 013 _
百二十一,_ 1 03 2 02 1 01 _
六千百十一,_ 6 04 1 03 1 02 1 01 _
陸,_ 6 01 _
十二万,_ 1 06 2 05 _
玖拾玖億,_ 9 010 9 09 _
漆拾漆,_ 7 02 7 01 _
壱千兆,_ 1 016 _
漆拾億,_ 7 010 _
三,_ 3 01 _
玖百,_ 9 03 _
萬,_ 1 05 _
五千五百,_ 5 04 5 03 _
四十八万,_ 4 06 8 05 _
陸千四百万,_ 6 08 4 07 _
弐,_ 2 01 _
仟,_ 1 04 _
七万八千九百,_ 7 05 8 04 9 03 _
三百五十七,_ 3 03 5 02 7 01 _
七拾二万参千,_ 7 06 2 05 3 04 _
壱万参仟,_ 1 05 3 04 _
